;Numer.......................................wpisu;ImiÍ.i.nazwisko.lub.nazwa.inwestora;Data.wpisu;Adres;Rodzaj;opis;typ;Data.wniosku;Nr...............wniosku;Nr...............decyzji;Data.decyzji;Rok.wniosku;Miesiπc.wniosku;data;Czas.rozpatrzenia;lon;lat
4436;1288;;2010-06-01;PomaraÒczowa;linie elektroener.i telekom.rozdzielcz.;budowa stacji transformator.sieci napow.kablow.;nowe;2010-04-20;12918/10;1102/10;2010-06-01;2010;4;2010-04-01;31;16,8926957;51,1566412
4437;1289;;2010-06-01;Miechowska 35A;bud.o trzech i wiÍcej mieszkaniach;rozbudowa i nadbudowa budynku mieszkal.;rozbudowa;2010-05-13;15772/10;1103/10;2010-06-01;2010;5;2010-05-01;14;16,891987;51,1349309
4438;1290;;2010-06-01;Rogowska 28;bud.o trzech i wiÍcej mieszkaniach;przebudowa i remont lokalu mieszkal.;przebudowa;2010-05-26;17519/10;1104/10;2010-06-01;2010;5;2010-05-01;5;16,955707;51,1172459
4439;1291;;2010-06-01;Konopnickiej Marii 53;bud.mieszkalne jednorodzinne;rozbudowa i nadbudowa dachem stromym bud;rozbudowa;2010-04-16;12458/10;1105/10;2010-06-01;2010;4;2010-04-01;33;17,0540586;51,1412465
4440;1292;;2010-06-01;Domas≥awska 36;bud.mieszkalne jednorodzinne;rozbudowa wolno stojπcego budynku mieszkalnego jednor;rozbudowa;2010-04-19;12689/10;1106/10;2010-06-01;2010;4;2010-04-01;32;16,940148;51,1193789
4441;1293;;2010-06-01;Lekcyjna 70;bud.mieszkalne jednorodzinne;nadbudowa czÍúci budynku mieszkalnego jednorodzinnego;rozbudowa;2010-04-14;12173/10;1107/10;2010-06-01;2010;4;2010-04-01;35;17,068272;51,150352
4442;1294;;2010-06-01;Odrodzenia Polski 14;bud.o trzech i wiÍcej mieszkaniach;montaø wewnÍtrznej instalacji gazowej i co w lokalu mieszkalnym;inst.wewnÍtrzna;2010-05-10;15250/10;1108/10;2010-06-01;2010;5;2010-05-01;17;17,1294237;51,16409
4443;1295;;2010-06-01;Gliniana 69;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkalnego;przebudowa;2010-05-25;17175/10;1109/10;2010-06-01;2010;5;2010-05-01;6;17,0396429;51,0918304
4444;1296;;2010-06-01;S≥owicza 10;bud.o trzech i wiÍcej mieszkaniach;remont balkonÛw;przebudowa;2010-05-26;17481/10;1110/10;2010-06-01;2010;5;2010-05-01;5;17,0089289;51,0884049
4445;1297;;2010-06-01;Graniczna 201;bud.biurowe;kot≥ownia olejowa;przebudowa;2010-05-21;16867/10;1111/10;2010-06-01;2010;5;2010-05-01;8;16,8813539;51,1132379
4446;1298;;2010-06-01;Sudecka 103B;bud.o trzech i wiÍcej mieszkaniach;remont balkonÛw;przebudowa;2010-05-26;17480/10;1112/10;2010-06-01;2010;5;2010-05-01;5;17,016215;51,087241
4447;1299;;2010-06-02;Wys≥oucha Seweryna 1;bud.mieszkalne jednorodzinne;budowy budynku mieszkalnego jednorodzinnego;nowe;2010-04-02;11061/10;paü-82;2010-06-02;2010;4;2010-04-01;44;16,9738095;51,074886
4448;1300;;2010-06-02;SpÛ≥dzielcza 39;bud.o trzech i wiÍcej mieszkaniach;przebudowa strychu na cele mieszkalne w budynku mieszkalnym ;przebudowa;2010-03-26;10292/10;paü-83;2010-06-02;2010;3;2010-03-01;49;17,1022019;51,102841
4449;1301;;2010-06-02;Kie≥baúnicza;linie elektroener.i telekom.rozdzielcz.;sieci telekomunikacyjnej ptc;nowe;2010-04-20;13073/10;1113/10;2010-06-02;2010;4;2010-04-01;32;17,0296149;51,1112771
4450;1302;;2010-06-02;Katowicka 5-25;bud.o trzech i wiÍcej mieszkaniach;wymiana stolarki dzwiowej/wejúcia do klatek schodowych;remont;2010-05-28;17804/10;1114/10;2010-06-02;2010;5;2010-05-01;4;17,083949;51,075669
4451;1303;;2010-06-02;ålepa 7;bud.o trzech i wiÍcej mieszkaniach;budynek mieszkalny wielorodzinny z garaøem podziemnym;nowe;2010-05-04;14681/10;1115/10;2010-06-02;2010;5;2010-05-01;22;16,8732566;51,1402969
4452;1304;;2010-06-02;Bajana Jerzego 62;bud.biurowe;przebudowa lokalu us≥ugowego na siedzibÍ sm piast;przebudowa;2010-05-31;17876/10;1116/10;2010-06-02;2010;5;2010-05-01;3;16,9612028;51,1242404
4453;1305;;2010-06-02;Sokalska 8;linie elektroener.i telekom.rozdzielcz.;przy≥πcze energetyczne do budynku;nowe;2010-04-29;14358/10;1117/10;2010-06-02;2010;4;2010-04-01;25;16,9551703;51,0977786
4454;1306;;2010-06-02;Sienkiewicza Henryka 21;bud.muzeÛw i bibliotek;remont instalacji elektrycznej budynku uniwersytetu;inst.wewnÍtrzna;2010-04-29;14206/10;1118/10;2010-06-02;2010;4;2010-04-01;25;17,0464664;51,1168313
4455;1307;;2010-06-02;Beniowskiego Maurycego 2/4;bud.o dwÛch mieszkaniach;budowa ganku do budynku mieszkalnego;rozbudowa;2010-05-14;15983/10;1119/10;2010-06-02;2010;5;2010-05-01;14;16,987821;51,0901396
4456;1308;;2010-06-02;Katowicka 45;bud.o trzech i wiÍcej mieszkaniach;stolarka okienna;remont;2010-05-28;17802/10;1120/10;2010-06-02;2010;5;2010-05-01;4;17,084384;51,073031
4457;1309;;2010-06-02;Biegasa Boles≥awa 2;bud.szkÛ≥ i instytucji badawczych;remont i przebudowa budynku;remont;2010-05-13;15800/10;1121/10;2010-06-02;2010;5;2010-05-01;15;17,08427;51,1006684
4458;1310;;2010-06-02;Øytnia 15;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkalnego w budynku wielorodzinnym;przebudowa;2010-04-28;14176/10;1122/10;2010-06-02;2010;4;2010-04-01;26;17,0151249;51,10125
4459;1311;;2010-06-02;Rynek 58;bud.muzeÛw i bibliotek;remont dachÛw budynkÛw biblioteki;remont;2010-05-17;16251/10;1123/10;2010-06-02;2010;5;2010-05-01;13;17,031292;51,1110216
4460;1312;;2010-06-02;PorÍbska 50;linie telekomunikacyjne ;stacja bazowa telefonii;nowe;2010-04-01;10942/10;1124/10;2010-06-02;2010;4;2010-04-01;45;16,9000819;51,143386
4461;1313;;2010-06-02;G≥owackiego Bartosza 45;bud.mieszkalne jednorodzinne;przebudowa dachu w budynku jednorodz;przebudowa;2010-05-13;15888/10;1125/10;2010-06-02;2010;5;2010-05-01;15;17,0954933;51,11145
4462;1314;;2010-06-02;Chorzowska 19-53;bud.o trzech i wiÍcej mieszkaniach;wymiana stolarki drzwiowej/wejúcia do klatek schodowych;remont;2010-05-28;17803/10;1126/10;2010-06-02;2010;5;2010-05-01;4;17,0823359;51,0759619
4463;1315;;2010-06-02;Chorzowska 2-10;bud.o trzech i wiÍcej mieszkaniach;wymiana stolarki okiennej zewnÍtrznej na strychach w budynku;remont;2010-05-28;17801/10;1127/10;2010-06-02;2010;5;2010-05-01;4;17,0840906;51,0759514
4464;1316;;2010-06-02;Majakowskiego W≥odzimierza 18;bud.o trzech i wiÍcej mieszkaniach;zadaszenie balkonu mieszkania w budynku wielorodzinnym;przebudowa;2010-05-07;15175/10;1128/10;2010-06-02;2010;5;2010-05-01;19;16,9488612;51,125819
4465;1317;;2010-06-02;Zegad≥owicza Emila 21;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkalnego w budynku mieszkalnym wielorodzinnym;przebudowa;2010-04-28;13983/10;1129/10;2010-06-02;2010;4;2010-04-01;26;17,0329381;51,1277927
4466;1318;;2010-06-02;Szewczenki Tarasa 34;bud.niemieszkalne pozosta≥e;przebudowa budynku godpodarczego;przebudowa;2010-05-25;17232/10;1130/10;2010-06-02;2010;5;2010-05-01;7;17,1315507;51,138532
4467;1319;;2010-06-02;Teatralny Plac 4;linie elektroener.i telekom.rozdzielcz.;sieÊ telekomunikacyjna;nowe;2010-04-12;11771/10;1131/10;2010-06-02;2010;4;2010-04-01;38;17,0330971;51,1051273
4468;1320;;2010-06-02;K≥oúna 6;bud.o trzech i wiÍcej mieszkaniach;remont úwietlika w budynku wielorodzinnym;;2010-04-28;14124/10;1132/10;2010-06-02;2010;4;2010-04-01;26;17,004281;51,097764
4469;1321;;2010-06-02;Niemcewicza Juliana Ursyna 16;bud.o trzech i wiÍcej mieszkaniach;wew.instalacja gazu;inst.wewnÍtrzna;2010-04-28;13979/10;1133/10;2010-06-02;2010;4;2010-04-01;26;17,0388923;51,1211571
4470;1322;;2010-06-02;Pereca Icchaka Lejba 16;bud.o trzech i wiÍcej mieszkaniach;lokal us≥ugowy;przebudowa;2010-04-14;12306/10;1134/10;2010-06-02;2010;4;2010-04-01;36;17,0078746;51,0994235
4471;1323;;2010-06-04;KrotoszyÒska 44;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-04-07;11370/10;paü-84;2010-06-04;2010;4;2010-04-01;43;16,9984244;51,1429908
4472;1324;;2010-06-04;Hubska;linie elektroener.i telekom.rozdzielcz.;budowa przy≥.nn dla zasilania placu budowy;przy≥πcze;2010-04-06;11179/10;1135/10;2010-06-04;2010;4;2010-04-01;44;17,0444192;51,0906746
4473;1325;;2010-06-04;Stab≥owice;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzin;nowe;2010-03-10;paü-11;1136/10;2010-06-04;2010;3;2010-03-01;63;16,9003899;51,1595505
4474;1326;;2010-06-04;Azaliowa 26;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzinnego z wbud.garaøem ;nowe;2010-04-12;11854/10;1137/10;2010-06-04;2010;4;2010-04-01;40;17,109873;51,1661439
4475;1327;;2010-06-04;Siedlecka 9;bud.mieszkalne jednorodzinne;budowa domu mieszkal.jednorodzin;nowe;2010-03-25;paü-76;1138/10;2010-06-04;2010;3;2010-03-01;52;16,920441;51,166703
4476;1328;;2010-06-07;StroÒska 27A;bud.szkÛ≥ i instytucji badawczych;umorzenie post.;przebudowa;2010-05-19;16706/10;150/10;2010-06-07;2010;5;2010-05-01;14;17,040169;51,072831
4477;1329;;2010-06-07;DaszyÒskiego Ignacego 79;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkal.w budynku mieszkal.;przebudowa;2010-05-17;16141/10;1139/10;2010-06-07;2010;5;2010-05-01;16;17,0575621;51,1223026
4478;1330;;2010-06-07;Braci Gierymskich 164;bud.szkÛ≥ i instytucji badawczych;przebudowa i remont budynku politechniki;przebudowa;2010-05-25;17362/10;1140/10;2010-06-07;2010;5;2010-05-01;10;17,1217126;51,1014412
4479;1331;;2010-06-07;Poniatowskiego JÛzefa KsiÍcia 25;bud.o trzech i wiÍcej mieszkaniach;wew.instalacja gazu;inst.wewnÍtrzna;2010-04-27;13973/10;1141/10;2010-06-07;2010;4;2010-04-01;30;17,0438247;51,1215876
4480;1332;;2010-06-07;Go≥Íøycka 50;bud.o trzech i wiÍcej mieszkaniach;docieplenie úcian zew.budynku wielorodzinnego;remont;2010-05-24;17085/10;1142/10;2010-06-07;2010;5;2010-05-01;11;16,9709979;51,136908
4481;1333;;2010-06-07;RÛøana 5;bud.o trzech i wiÍcej mieszkaniach;przebudowa drugiego poziomu poddasza w mieszkaniu ;przebudowa;2010-05-31;17895/10;1143/10;2010-06-07;2010;5;2010-05-01;6;16,9941569;51,09574
4482;1334;;2010-06-07;Trzmielowicka;zbiorniki,silosy i bud.magazynowe;zbiornika naziemnego na gaz p≥ynny wraz z przy≥πczem i montaøem ;nowe;2010-04-08;11577/10;1144/10;2010-06-07;2010;4;2010-04-01;43;16,8373536;51,1395539
4483;1335;;2010-06-07;Trawowa 35A;bud.o dwÛch mieszkaniach;budynek mieszkalny jednorodzinny;nowe;2010-05-13;15905/10;1145/10;2010-06-07;2010;5;2010-05-01;18;16,951982;51,09842
4484;1336;;2010-06-07;Jednoúci Narodowej 106;bud.o trzech i wiÍcej mieszkaniach;wew.instalacja gazu;inst.wewnÍtrzna;2010-05-13;15801/10;1146/10;2010-06-07;2010;5;2010-05-01;18;17,043743;51,122495
4485;1337;;2010-06-07;JarociÒska 55;bud.mieszkalne jednorodzinne;budynek jednorodzinny wolnostojπcy;nowe;2010-04-20;12853/10;1147/10;2010-06-07;2010;4;2010-04-01;35;16,9973152;51,1433272
4486;1338;;2010-06-07;Hallera JÛzefa Gen. Aleja 139;bud.o trzech i wiÍcej mieszkaniach;montaz wew.instal.         gaz.dla potrzeb lokalu mieszkal.;inst.wewnÍtrzna;2010-04-13;11996/10;1148/10;2010-06-07;2010;4;2010-04-01;40;16,9886797;51,0914319
4487;1339;;2010-06-08;Wschodnia;rurociπgi kanalizac.sieci ;sieci kanalizacji sanitarnej;nowe;2010-04-21;13202/10;1149/10;2010-06-08;2010;4;2010-04-01;35;17,1477294;51,112793
4488;1340;;2010-06-08;Strzelecki Plac 6;bud.o trzech i wiÍcej mieszkaniach;przebudowa lokalu mieszkalnego;rozbudowa;2010-05-18;16352/10;1150/10;2010-06-08;2010;5;2010-05-01;16;17,0297437;51,1220748
4489;1341;;2010-06-08;RostafiÒskiego JÛzefa 8;bud.o trzech i wiÍcej mieszkaniach;wew.instalacja gazu;inst.wewnÍtrzna;2010-04-14;12278/10;1151/10;2010-06-08;2010;4;2010-04-01;40;17,0339926;51,1195288
4490;1342;;2010-06-08;Jemio≥owa 34;bud.o trzech i wiÍcej mieszkaniach;montaz wew.instal.central.ogrzew.dla potrzeb lokali ;inst.wewnÍtrzna;2010-04-15;12340/10;1152/10;2010-06-08;2010;4;2010-04-01;39;17,009802;51,097189
4491;1343;;2010-06-08;Wielka 29;bud.o trzech i wiÍcej mieszkaniach;nowego wejúcia do mieszkania w parterze budynku wielorodz;przebudowa;2010-04-06;11068/10;1153/10;2010-06-08;2010;4;2010-04-01;46;17,0278003;51,0912166
4492;1344;;2010-06-08;Go≥Íøycka 34;bud.o trzech i wiÍcej mieszkaniach;docieplenie úcian zewn.budynku mieszkal.wielorodzin;przebudowa;2010-05-07;15093/10;1154/10;2010-06-08;2010;5;2010-05-01;23;16,972115;51,1368869
4493;1345;;2010-06-08;Norwida Cypriana Kamila 31;bud.szkÛ≥ i instytucji badawczych;przebudowa centrum uniwersytwtu przyrodniczego;przebudowa;2010-06-01;18099/10;1155/10;2010-06-08;2010;6;2010-06-01;6;17,0647842;51,1121864
4494;1346;;2010-06-08;Krakowska;zbiorniki,silosy i bud.magazynowe;hurtowni z funkcjami magazynowo-pomocniczymi ;nowe;2010-01-21;paü-05;1156/10;2010-06-08;2010;1;2010-01-01;99;17,0668372;51,0886751
4495;1347;;2010-06-09;U≥aÒska 30;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.;nowe;2010-05-25;17263/10;1157/10;2010-06-09;2010;5;2010-05-01;12;17,014922;51,052599
4496;1348;;2010-06-09;G≥Ûwna 42;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-05-28;17835/10;1158/10;2010-06-09;2010;5;2010-05-01;9;16,907045;51,1602159
4497;1349;;2010-06-09;Kunickiego Stanis≥awa 37A;bud.szpitali i zak≥.opieki medycznej;przychodnia lekarska;zmiana spos.uøytk.;2010-05-14;15976/10;1159/10;2010-06-09;2010;5;2010-05-01;19;16,9392448;51,0934345
4498;1350;;2010-06-09;Krupnicza 2-4;linie telekomunikacyjne ;sieÊ telekomunikacyjna;nowe;2010-05-06;14878/10;1160/10;2010-06-09;2010;5;2010-05-01;25;17,0271629;51,1081719
4499;1351;;2010-06-09;G≥Ûwna 44;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny wolno stojπcy;nowe;2010-05-28;17679/10;1161/10;2010-06-09;2010;5;2010-05-01;9;16,9066479;51,1603246
4500;1352;;2010-06-09;£ubinowa 16C;rurociπgi gazu sieci rozdzielczej;gazociπgu n/c wraz z przy≥πczem gazu n/c dla budynku mieszkalnego ;nowe;2010-04-22;13299/10;1162/10;2010-06-09;2010;4;2010-04-01;35;17,0171387;51,0614176
4501;1353;;2010-06-09;Trawowa;ulice i drogi pozosta≥e;zjazdu z drogi publicznej gminnej;nowe;2010-05-21;16924/10;1163/10;2010-06-09;2010;5;2010-05-01;14;16,9517193;51,1000953
4502;1354;;2010-06-09;Wyk≥adowa 28;bud.mieszkalne jednorodzinne;wew.instalacja gazu;inst.wewnÍtrzna;2010-05-26;17461/10;1164/10;2010-06-09;2010;5;2010-05-01;11;17,152576;51,1002109
4503;1355;;2010-06-09;Opolska 75;bud.o trzech i wiÍcej mieszkaniach;wymiana okien i zmniejszenie otworÛw logii;przebudowa;2010-04-08;11497/10;1165/10;2010-06-09;2010;4;2010-04-01;45;17,085189;51,076049
4504;1356;;2010-06-09;Ømigrodzka 26-40;bud.o trzech i wiÍcej mieszkaniach;remont úcian szczytowych elewacji budynku mieszkalnego ;przebudowa;2010-05-10;15239/10;1166/10;2010-06-09;2010;5;2010-05-01;23;17,035155;51,1367149
4505;1357;;2010-06-09;Opolska 75;bud.o trzech i wiÍcej mieszkaniach;wymiana okien i zmniejszeniu otworow loggi;przebudowa;2010-04-08;11494/10;1167/10;2010-06-09;2010;4;2010-04-01;45;17,085189;51,076049
4506;1358;;2010-06-09;Inflancka 1,3,5;bud.o trzech i wiÍcej mieszkaniach;remont i przebudowa trzech wiatro≥apÛw wejúciowych ;przebudowa;2010-04-28;14122/10;1168/10;2010-06-09;2010;4;2010-04-01;31;17,1313045;51,1455997
4507;1359;;2010-06-09;Legnicka 54;bud.handlowo-uslugowe;rozbud.i przebud.          centrum handlowo-us≥ug.-rozrywkowego.;rozbudowa;2010-04-12;11915/10;1169/10;2010-06-09;2010;4;2010-04-01;43;16,9950334;51,1201314
4508;1360;;2010-06-10;Strzegomska 46-56;bud.niemieszkalne pozosta≥e;wiata rowerowa;nowe;2010-05-06;14892/10;paü-85;2010-06-10;2010;5;2010-05-01;26;16,985175;51,1135225
4509;1361;;2010-06-10;Wejherowska;rurociπgi gazu sieci rozdzielczej;umarzam postÍpowanie-stacja redukcyjna;nowe;2010-05-12;15556/10;154/10;2010-06-10;2010;5;2010-05-01;22;16,9854656;51,1292371
4510;1362;;2010-06-10;Wereszyckiego Henryka 27;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-05-19;16617/10;1170/10;2010-06-10;2010;5;2010-05-01;17;16,8755217;51,1597745
4511;1363;;2010-06-10;Traugutta Romualda Gen. 131;bud.o trzech i wiÍcej mieszkaniach;przebudowa elewacji kamienicy;przebudowa;2010-03-30;10557/10;1171/10;2010-06-10;2010;3;2010-03-01;53;17,0549755;51,0988028
4512;1364;;2010-06-10;Grodzka;rurociπgi wodociπg.sieci ;magistrala wodociagowa;nowe;2010-04-22;13294/10;1172/10;2010-06-10;2010;4;2010-04-01;36;17,035659;51,1145824
4513;1365;;2010-06-10;Pawia;zbiorniki,silosy i bud.magazynowe;likwidacja zbiornika p-poø.;rozbiÛrka;2010-05-14;15910/10;1173/10;2010-06-10;2010;5;2010-05-01;20;17,038673;51,0665003
4514;1366;;2010-06-10;Bardzka 3A;bud.handlowo-uslugowe;rozbudowa budynku restauracji;rozbudowa;2010-05-13;15823/10;1174/10;2010-06-10;2010;5;2010-05-01;21;17,048614;51,0819861
4515;1367;;2010-06-10;Nadolicka 9;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny wolno stojπcy;nowe;2010-04-22;13351/10;1175/10;2010-06-10;2010;4;2010-04-01;36;17,1604878;51,0972893
4516;1368;;2010-06-10;Inflancka 7,9,11;bud.o trzech i wiÍcej mieszkaniach;remont i przebudowa trzech wiatro≥apÛw wejúciowych ;przebudowa;2010-04-28;14123/10;1176/10;2010-06-10;2010;4;2010-04-01;32;17,1315057;51,1450687
4517;1369;;2010-06-10;Wystawowa 1;bud.przemys≥owe;remont i ocieplenie dachu budynku wytwÛrni filmÛw ;remont;2010-04-14;12284/10;1177/10;2010-06-10;2010;4;2010-04-01;42;17,0741029;51,1074933
4518;1370;;2010-06-10;LutyÒska;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2010-05-13;15792/10;1178/10;2010-06-10;2010;5;2010-05-01;21;16,8290333;51,1467021
4519;1371;;2010-06-11;Pu≥askiego Kazimierza Gen. 30;bud.o trzech i wiÍcej mieszkaniach;remont wewnÍtrznej instalacji gazu w budynky mieszkalnym ;inst.wewnÍtrzna;2010-05-14;16021/10;paü-86;2010-06-11;2010;5;2010-05-01;21;17,0460061;51,1005158
4520;1372;;2010-06-11;Pomorska 10;bud.o trzech i wiÍcej mieszkaniach;umarzam jako bezprzedmiotowe-przebudowa mieszkania;przebudowa;2010-04-12;11778/10;156/10;2010-06-11;2010;4;2010-04-01;45;17,030805;51,118193
4521;1373;;2010-06-11;Lubelska 86;bud.mieszkalne jednorodzinne;umarzam jako bezprzedmiotowe;przebudowa;2010-04-27;13875/10;157/10;2010-06-11;2010;4;2010-04-01;34;16,921145;51,1635749
4522;1374;;2010-06-11;Piotrkowska;rurociπgi gazu sieci rozdzielczej;gazociπg;nowe;2010-04-26;13749/10;1179/10;2010-06-11;2010;4;2010-04-01;35;16,9138612;51,1522185
4523;1375;;2010-06-11;JÍdrzejowska 2,4;bud.mieszkalne jednorodzinne;ogrodzenie dzia≥ek; ˇˇ;2010-04-22;13452/10;1180/10;2010-06-11;2010;4;2010-04-01;37;16,914613;51,154637
4524;1376;;2010-06-11;D≥ugosza Jana;linie elektroener.i telekom.rozdzielcz.;przebudowa sieci energetycznej nn;przebudowa;2010-04-27;13847/10;1181/10;2010-06-11;2010;4;2010-04-01;34;17,0644781;51,1345534
4525;1377;;2010-06-11;W≥odkowica Paw≥a 8;bud.biurowe;montaø iluminacji zewnÍtrznej na elewacji budynku;urzπdzenie;2010-05-25;17282/10;1182/10;2010-06-11;2010;5;2010-05-01;14;17,0241628;51,1082099
4526;1378;;2010-06-11;Eluarda Paw≥a;linie elektroener.i telekom.rozdzielcz.;linii kablowej n/n;nowe;2010-05-10;15249/10;1183/10;2010-06-11;2010;5;2010-05-01;25;16,8623707;51,1479591
4527;1379;;2010-06-11;W≥adys≥awa £okietka 11;bud.biurowe;remont dachu budynku;remont;2010-06-01;18143/10;1184/10;2010-06-11;2010;6;2010-06-01;9;17,0357099;51,1186239
4528;1380;;2010-06-11;Zelwerowicza Aleksandra 3A-5;bud.szkÛ≥ i instytucji badawczych;przebudowa budynku akademii muzycznej;przebudowa;2010-03-30;10597/10;1185/10;2010-06-11;2010;3;2010-03-01;54;17,0208714;51,1105541
4529;1381;;2010-06-11;Przebiúniegowa;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-04-08;11419/10;1186/10;2010-06-11;2010;4;2010-04-01;47;17,1063081;51,1743549
4530;1382;;2010-06-11;Litewska 42,44;bud.o trzech i wiÍcej mieszkaniach;remont i przebudowa 3 wiatro≥apÛw wejúciow;przebudowa;2010-05-11;15434/10;1187/10;2010-06-11;2010;5;2010-05-01;24;17,1346378;51,1434556
4531;1383;;2010-06-11;Litewska 30,32;bud.o trzech i wiÍcej mieszkaniach;remont i przebudowa 3 wiatro≥apÛw wejúciow;przebudowa;2010-05-11;15432/10;1188/10;2010-06-11;2010;5;2010-05-01;24;17,1329654;51,1432526
4532;1384;;2010-06-11;Litewska 24,26;bud.o trzech i wiÍcej mieszkaniach;remont i przebudowa wiatro≥apÛw;przebudowa;2010-05-11;15431/10;1189/10;2010-06-11;2010;5;2010-05-01;24;17,1323167;51,1431669
4533;1385;;2010-06-11;Litewska 36,38;bud.o trzech i wiÍcej mieszkaniach;przebudowa i remont wiatro≥apÛw;przebudowa;2010-05-11;15433/10;1190/10;2010-06-11;2010;5;2010-05-01;24;17,13366;51,143344
4534;1386;;2010-06-11;ålazowa;linie elektroener.i telekom.rozdzielcz.;sieÊ telekomunik.;nowe;2010-06-02;18364/10;1191/10;2010-06-11;2010;6;2010-06-01;8;16,9989031;51,1517979
