"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"11034";1093;"";"2012-05-09";"Sarbinowska 39-43 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa úcian zewnÍtrznych klatek schodowych";"przebudowa";"2012-03-30";"10854/12";"gru-22";"2012-05-09";2012;3;"2012-03-01";29;16,947055;51,128211
"11035";1094;"";"2012-05-09";"Braterska 16 ";"bud.o trzech i wiÍcej mieszkaniach";"dobudowa stalowych balkonÛw w budynku wielorodzinnym";"rozbudowa";"2012-04-30";"14614/12";"gru-23";"2012-05-09";2012;4;"2012-04-01";8;16,996692;51,064169
"11036";1095;"";"2012-05-09";"ålÍøna 110 ";"";"wykonanie wiaty smietnikowej ,noúnika reklamowego oraz zadaszenia nad wejúciem do budynku";"noúnik reklamowy";"2012-03-29";"10833/12";"gru-24";"2012-05-09";2012;3;"2012-03-01";30;17,0247201;51,0821023
"11037";1096;"";"2012-05-09";"BrodziÒskiego Kazimierza 13  ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu";"inst.wewnÍtrzna";"2012-03-30";"10918/12";"gru-25";"2012-05-09";2012;3;"2012-03-01";29;17,0370789;51,1414891
"11038";1097;"";"2012-05-09";"Pawia 40B- ";"rurociπgi gazu sieci rozdzielczej";"budowa gaziciπgu úc wraz z przy≥πczem dla budynku";"nowe";"2012-03-08";"gru-48";"gru-26";"2012-05-09";2012;3;"2012-03-01";45;17,03879;51,064296
"11039";1098;"";"2012-05-09";"Traktorowa 8 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego o salon fryzjerski";"rozbudowa";"2012-03-28";"10633/12";"gru-27";"2012-05-09";2012;3;"2012-03-01";31;17,020286;51,051958
"11040";1099;"";"2012-05-09";"Lechonia Jana 9 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego z wbudowanym garaøem";"nowe";"2012-04-06";"11943/12";"gru-28";"2012-05-09";2012;4;"2012-04-01";24;17,0344589;51,0554222
"11041";1100;"";"2012-05-09";"Muchoborska 8 ";"bud.biurowe";"przebudowa budynku biurowo-us≥ugowego";"przebudowa";"2012-05-02";"14835/12";"gru-29";"2012-05-09";2012;5;"2012-05-01";6;16,9710494;51,1101718
"11042";1101;"";"2012-05-09";"Agrestowa ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej";"nowe";"2012-03-23";"gru-60";"gru-31";"2012-05-09";2012;3;"2012-03-01";34;17,0170834;51,0643065
"11043";1102;"";"2012-05-09";"KomeÒskiego Jana Amosa 17 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2012-03-23";"10092/12";"gru-33";"2012-05-09";2012;3;"2012-03-01";34;16,9292713;51,1194946
"11044";1103;"";"2012-05-09";"Zag≥Íbiowska 3 ";"bud.handlowo-uslugowe";"budowa hali handlowo-us≥ugowej z czÍúcia biurowπ";"nowe";"2012-02-20";"gru-60";"gru-34";"2012-05-09";2012;2;"2012-02-01";58;17,0894998;51,07363
"11045";1104;"";"2012-05-09";"Prochowicka 14A ";"bud.mieszkalne jednorodzinne";"budowa przy≥πcza gazowego niskiego ciúnienia dla budynku  mieszkalnego jednorodzinnego w zabudowie bliøniaczej";"przy≥πcze";"2012-03-22";"gru-75";"gru-36";"2012-05-09";2012;3;"2012-03-01";35;16,8630493;51,1511482
"11046";1105;"";"2012-05-09";"Augustowska ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowych nn";"nowe";"2012-04-04";"11548/12";"gru-38";"2012-05-09";2012;4;"2012-04-01";26;16,9352093;51,1515003
"11047";1106;"";"2012-05-09";"ZwyciÍska ";"linie elektroener.i telekom.rozdzielcz.";"umarzam postÍp";"nowe";"2012-04-04";"11564/12";"gru-41";"2012-05-09";2012;4;"2012-04-01";26;17,0056571;51,0596505
"11048";1107;"";"2012-05-10";"Na Grobli 19-23 ";"bud.biurowe";"umorzenie";"rozbiÛrka";"2012-04-04";"11607/12";"gru-45";"2012-05-10";2012;4;"2012-04-01";27;17,059162;51,103412
"11049";1108;"";"2012-05-10";"åwiebodzka 3 ";"bud.garaøy";"odmowa";"remont";"2012-03-12";"gru-89";"gru-48";"2012-05-10";2012;3;"2012-03-01";44;17,0260414;51,1048022
"11050";1109;"";"2012-05-10";"Grunwaldzki Plac 22 ";"bud.handlowo-uslugowe";"odmowa";"przebudowa";"2012-03-19";"gru-35";"gru-53";"2012-05-10";2012;3;"2012-03-01";39;17,0590224;51,1126865
"11051";1110;"";"2012-05-10";"Zajπczkowska ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego wolno stojπcego";"nowe";"2012-03-09";"gru-87";"gru-56";"2012-05-10";2012;3;"2012-03-01";45;16,9798261;51,1875947
"11052";1111;"";"2012-05-10";"M≥odnickiego Artura 22  ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2012-03-26";"10136/12";"gru-57";"2012-05-10";2012;3;"2012-03-01";34;17,0612743;51,1257777
"11053";1112;"";"2012-05-10";"Przystankowa 5 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2012-04-20";"13582/12";"gru-61";"2012-05-10";2012;4;"2012-04-01";15;17,0333644;51,0703185
"11054";1113;"";"2012-05-10";"JoannitÛw 6 ";"bud.biurowe";"montaø instalacji wentylacji i klimatyzacji";"inst.wewnÍtrzna";"2012-04-12";"12452/12";"gru-62";"2012-05-10";2012;4;"2012-04-01";21;17,0363979;51,0940269
"11055";1114;"";"2012-05-10";"Micha≥owskiego Piotra 23 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego";"rozbudowa";"2012-03-14";"gru-12";"gru-63";"2012-05-10";2012;3;"2012-03-01";42;17,1023257;51,0992513
"11056";1115;"";"2012-05-10";"PowstaÒcÛw ålπskich 2-4 ";"linie telekomunikacyjne ";"budowa stacji bazowejtelefonii komÛrkowej";"nowe";"2012-02-16";"gru-29";"gru-64";"2012-05-10";2012;2;"2012-02-01";61;17,028845;51,099323
"11057";1116;"";"2012-05-10";"DrÛønicza 21 ";"bud.mieszkalne jednorodzinne";"budowa przy≥πcza gazu";"przy≥πcze";"2012-03-05";"gru-86";"gru-65";"2012-05-10";2012;3;"2012-03-01";49;17,0603798;51,0590639
"11058";1117;"";"2012-05-10";"Pankiewicza JÛzefa 11 ";"bud.mieszkalne jednorodzinne";"remont elewacji i pokrycia dachu budynku mieszkalnego jednorodzinnego";"remont";"2012-04-06";"12004/12";"gru-66";"2012-05-10";2012;4;"2012-04-01";25;17,1076317;51,0998889
"11059";1118;"";"2012-05-10";"Kluczborska7 ";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji frontowej z dociepleniem elewacji budynku mieszkalnego wielorodzinnego";"remont";"2012-03-16";"gru-58";"gru-67";"2012-05-10";2012;3;"2012-03-01";40;17,0452722;51,1226059
"11060";1119;"";"2012-05-10";"JoannitÛw6 ";"bud.biurowe";"montaø instalacji wentylacji i klimatyzacji w budynku ""b""";"inst.wewnÍtrzna";"2012-04-12";"12451/12";"gru-68";"2012-05-10";2012;4;"2012-04-01";21;17,0363979;51,0940269
"11061";1120;"";"2012-05-10";"Jednoúci Narodowej 51/53 ";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji frontowej,docieplenie elewacji tylnych,remont dachu,balkonÛw w budynku mieszkalno-us≥ugowym";"przebudowa";"2012-03-22";"gru-20";"gru-69";"2012-05-10";2012;3;"2012-03-01";36;17,039632;51,1196659
"11062";1121;"";"2012-05-11";"Trzmielowicka 60 ";"linie telekomunikacyjne ";"odmowa";"nowe";"2008-11-06";"42224/08";"12-kwi";"2012-05-11";2008;11;"2008-11-01";917;16,8529873;51,1413237
"11063";1122;"";"2012-05-11";"Ga≥czyÒskiego Konstantego Ildefonsa ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2012-04-12";"12364/12";"gru-70";"2012-05-11";2012;4;"2012-04-01";22;17,0312172;51,055005
"11064";1123;"";"2012-05-11";"Ziemniaczana ";"rurociπgi wodociπg.sieci ";"budowa odcinka sieci wodociπgowej w ulicy";"nowe";"2012-03-13";"gru-63";"gru-71";"2012-05-11";2012;3;"2012-03-01";44;17,0916699;51,0500514
"11065";1124;"";"2012-05-11";"Sucha ";"bud.handlowo-uslugowe";"przebudowa instalacji kiosku";"przebudowa";"2011-11-29";"40813/11";"gru-72";"2012-05-11";2011;11;"2011-11-01";119;17,0371892;51,0970513
"11066";1125;"";"2012-05-11";"Boles≥awa Chrobrego 20  ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa i remont lokalu mieszkalnego w budynku wielorodzinnym";"przebudowa";"2012-03-29";"10831/12";"gru-74";"2012-05-11";2012;3;"2012-03-01";32;17,0345693;51,1221605
"11067";1126;"";"2012-05-11";"Zielona 1 ";"bud.mieszkalne jednorodzinne";"nadbudowa i rozbudowa istniejπcego garaøu na cele mieszkalne wraz z budowπ zjazdu";"rozbudowa";"2012-03-30";"10963/12";"gru-75";"2012-05-11";2012;3;"2012-03-01";31;16,8879549;51,1453239
"11068";1127;"";"2012-05-11";"GÍsia 16 ";"bud.o dwÛch mieszkaniach";"budowa budynku mieszkalno-us≥ugowego wraz z miejscami parkingowymi";"nowe";"2012-02-28";"gru-90";"gru-76";"2012-05-11";2012;2;"2012-02-01";54;17,084163;51,1327049
"11069";1128;"";"2012-05-11";"Piaskowa ";"rurociπgi wodociπg.sieci ";"przebudowa sieci ciep≥owniczej od studni do wÍz≥a cieplnego w budynku";"przebudowa";"2012-03-29";"10839/12";"gru-77";"2012-05-11";2012;3;"2012-03-01";32;17,0393322;51,1122326
"11070";1129;"";"2012-05-11";"£ukowa ";"rurociπgi gazu sieci rozdzielczej";"budowa gazociπgu";"nowe";"2012-03-26";"10194/12";"gru-78";"2012-05-11";2012;3;"2012-03-01";35;16,8950625;51,1405943
"11071";1130;"";"2012-05-11";"Strzeblowska ";"rurociπgi kanalizac.sieci ";"budowa odcinka sieci kanalizacji sanitarnej";"nowe";"2012-03-19";"gru-04";"gru-79";"2012-05-11";2012;3;"2012-03-01";40;16,9051802;51,1548464
"11072";1131;"";"2012-05-11";"M≥odych TechnikÛw 58 ";"bud.szkÛ≥ i instytucji badawczych";"remont czÍúci budynku szko≥y";"przebudowa";"2012-03-06";"gru-35";"gru-80";"2012-05-11";2012;3;"2012-03-01";49;17,0130514;51,1187977
"11073";1132;"";"2012-05-11";"StrachociÒska 206 ";"bud.mieszkalne jednorodzinne";"budowa przy≥πcza gazu nc dla budynku mieszkal.";"przy≥πcze";"2012-03-22";"gru-76";"gru-82";"2012-05-11";2012;3;"2012-03-01";37;17,1610603;51,0993315
"11074";1133;"";"2012-05-11";"KamiennogÛrska 50 ";"bud.mieszkalne jednorodzinne";"umorzenie";"rozbudowa";"2012-03-13";"gru-45";"gru-86";"2012-05-11";2012;3;"2012-03-01";44;16,8985169;51,1371119
"11075";1134;"";"2012-05-11";"GÛrecka ";"bud.mieszkalne jednorodzinne";"umarzam postÍpowanie";"nowe";"2012-02-20";"gru-75";"gru-88";"2012-05-11";2012;2;"2012-02-01";60;16,9053342;51,1581331
"11076";1135;"";"2012-05-11";"MosiÍøna 6 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu i inst co w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnÍtrzna";"2012-04-13";"12556/12";"gru-89";"2012-05-11";2012;4;"2012-04-01";21;17,000027;51,1001599
"11077";1136;"";"2012-05-11";"Pasteura Ludwika Wybrzeøe 9";"bud.o trzech i wiÍcej mieszkaniach";"odmowa";"inst.wewnÍtrzna";"2012-02-22";"gru-82";"gru-91";"2012-05-11";2012;2;"2012-02-01";58;17,0698074;51,1122541
"11078";1137;"";"2012-05-11";"Ma≥opolska ";"bud.o trzech i wiÍcej mieszkaniach";"umorzenie";"nowe";"2012-03-19";"gru-92";"gru-92";"2012-05-11";2012;3;"2012-03-01";40;16,8938832;51,1388712
"11079";1138;"";"2012-05-11";"Bia≥odrzewna ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej nn";"nowe";"2012-04-18";"13035/12";"gru-94";"2012-05-11";2012;4;"2012-04-01";18;16,9233029;51,1373012
"11080";1139;"";"2012-05-11";"JÍdrzejowska 32 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stojπcego";"nowe";"2012-03-07";"gru-89";"gru-95";"2012-05-11";2012;3;"2012-03-01";48;16,913045;51,1544109
"11081";1140;"";"2012-05-11";"KorzeÒska 11 ";"bud.mieszkalne jednorodzinne";"odmowa";"nowe";"2011-11-08";"38496/11";"gru-96";"2012-05-11";2011;11;"2011-11-01";134;17,039517;51,151661
"11082";1141;"";"2012-05-11";"KowieÒska ";"bud.mieszkalne jednorodzinne";"budowa linii kablowej";"przy≥πcze";"2012-03-21";"gru-02";"gru-98";"2012-05-11";2012;3;"2012-03-01";38;17,1330904;51,1415978
"11083";1142;"";"2012-05-11";"Øelazna 36 ";"bud.szkÛ≥ i instytucji badawczych";"przebudowa budynku szko≥y-rozbiÛrka tarasu przy budynku";"przebudowa";"2012-04-11";"12215/12";"gru-00";"2012-05-11";2012;4;"2012-04-01";23;17,0073529;51,096849
"11084";1143;"";"2012-05-14";"Leúnica";"drogi kolejowe na obszarach miejskich";"przebudowa linii kolejowej";"przebudowa";"2012-03-13";"gru-54";"gru-03";"2012-05-14";2012;3;"2012-03-01";45;16,8668897;51,1458855
"11085";1144;"";"2012-05-14";"Kunickiego Stanis≥awa4 ";"bud.biurowe";"montaz instalacji klimatyzacji pomieszczeÒ biur i instalacji elektrycznej w budynku archiwum";"inst.wewnÍtrzna";"2012-04-03";"11349/12";"gru-04";"2012-05-14";2012;4;"2012-04-01";30;16,9373492;51,0907588
"11086";1145;"";"2012-05-14";"Wandy 21 ";"bud.o trzech i wiÍcej mieszkaniach";"remont balkonÛw w budynku mieszkalnym";"przebudowa";"2012-04-03";"11291/12";"gru-05";"2012-05-14";2012;4;"2012-04-01";30;17,009425;51,088688
"11087";1146;"";"2012-05-14";"Wo≥owska 9 ";"bud.szpitali i zak≥.opieki medycznej";"przebudowa kot≥owni olejowej na gazowπ";"przebudowa";"2012-04-26";"14324/12";"gru-06";"2012-05-14";2012;4;"2012-04-01";13;17,028076;51,1466069
"11088";1147;"";"2012-05-14";"Øwirki I Wigury ";"bud.biurowe";"budowa budynku biurowego";"nowe";"2012-04-27";"14454/12";"gru-10";"2012-05-14";2012;4;"2012-04-01";12;16,9349861;51,0975043
"11089";1148;"";"2012-05-14";"Swojczycka 124A ";"bud.mieszkalne jednorodzinne";"umarzam";"rozbudowa";"2012-03-26";"10312/12";"gru-11";"2012-05-14";2012;3;"2012-03-01";36;17,1290489;51,11486
"11090";1149;"";"2012-05-14";"JoannitÛw 20 ";"bud.o trzech i wiÍcej mieszkaniach";"wykonanie remontu stropu w budynku mieszkalnym";"remont";"2012-04-26";"14279/12";"gru-12";"2012-05-14";2012;4;"2012-04-01";13;17,036813;51,095054
"11091";1150;"";"2012-05-14";"Litewska 27 ";"bud.mieszkalne jednorodzinne";"rozbudowa o jednπ kondygnacjÍ parterowej czÍúci budynku mieszkalnego jednorodzinnego";"rozbudowa";"2012-03-29";"10690/12";"gru-17";"2012-05-14";2012;3;"2012-03-01";33;17,1308429;51,1420858
"11092";1151;"";"2012-05-14";"WiÍzienna 7 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnetrzna inastalacja gazu i montaø c.o.";"inst.wewnÍtrzna";"2012-04-19";"13289/12";"gru-19";"2012-05-14";2012;4;"2012-04-01";18;17,032708;51,112728
"11093";1152;"";"2012-05-14";"Roosevelta Franklina 25 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu";"inst.wewnÍtrzna";"2012-03-12";"gru-44";"gru-20";"2012-05-14";2012;3;"2012-03-01";46;17,0421861;51,123478
"11094";1153;"";"2012-05-14";"WardzyÒskich W≥adys≥awa I Jana 28 ";"bud.mieszkalne jednorodzinne";"montaø wewnÍtrznej instalacji gazu dla budynku mieszkalnego";"inst.wewnÍtrzna";"2012-04-11";"12176/12";"gru-21";"2012-05-14";2012;4;"2012-04-01";24;16,895332;51,1064558
"11095";1154;"";"2012-05-14";"DüwirzyÒska 3 ";"bud.szkÛ≥ i instytucji badawczych";"zm.dec.ostat.nr 390/08-pprzebudowa pomieszczeÒ w zespole ø≥obkowo-przedszkolnym";"przebudowa";"2012-04-19";"13255/12";"gru-22";"2012-05-14";2012;4;"2012-04-01";18;16,9458199;51,1257294
"11096";1155;"";"2012-05-14";"Leonarda Da Vinci 12 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudwa wewnÍtrznej instalacji gazu";"inst.wewnÍtrzna";"2012-04-30";"14694/12";"gru-24";"2012-05-14";2012;4;"2012-04-01";11;17,0778339;51,0664217
"11097";1156;"";"2012-05-14";"SkarbowcÛw 121 ";"bud.handlowo-uslugowe";"budowa zespo≥u budynkÛw us≥ugowych";"nowe";"2012-03-26";"10219/12";"gru-25";"2012-05-14";2012;3;"2012-03-01";36;16,990462;51,0671879
"11098";1157;"";"2012-05-14";"Curie-Sk≥odowskiej Marii 11 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"rozbudowa";"2012-03-23";"10091/12";"gru-27";"2012-05-14";2012;3;"2012-03-01";37;17,0575471;51,1118176
"11099";1158;"";"2012-05-14";"Ko≥≥πtaja Hugona 32 ";"bud.o trzech i wiÍcej mieszkaniach";"remont budynku mieszkalno-us≥ugowego";"remont";"2012-03-23";"10087/12";"gru-28";"2012-05-14";2012;3;"2012-03-01";37;17,0373473;51,1030215
