"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"22016";2006;"";"";"Zabrodzka  ";"bud.kultu religijnego i czynnoœci religijnych";"budowa domu przedpogrzebowego z zagospodarowaniem tereu i infrastruktur¹ techniczn¹";"nowe";"2015-05-28";"17362/15";"3874/15";"2015-07-27";2015;5;"2015-05-01";43;"2015_05";"Wiosna";16,9665535;51,0616011
"22017";2007;"";"";"Sukiennice 1 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu gastronomicznego w budynku mieszkalno-us³ugowym.";"przebudowa";"2015-05-27";"17158/15";"3875/15";"2015-07-27";2015;5;"2015-05-01";44;"2015_05";"Wiosna";17,0324622;51,1098108
"22018";2008;"";"";"Jednoœci Narodowej 189 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku mieszkalnym wielorodzinnym.";"przebudowa";"2015-06-03";"18123/15";"3876/15";"2015-07-27";2015;6;"2015-06-01";39;"2015_06";"Lato";17,05142;51,127254
"22019";2009;"";"";"Têczowa  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych";"nowe";"2014-10-24";"34566/14";"3878/15";"2015-07-27";2014;10;"2014-10-01";197;"2014_10";"Jesieñ";17,0135311;51,1052596
"22020";2010;"";"";"Brylantowa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-05-28";"17333/15";"3879/15";"2015-07-27";2015;5;"2015-05-01";43;"2015_05";"Wiosna";17,0278694;51,0490594
"22021";2011;"";"";"Blacharska 16 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-07-14";"23258/15";"3880/15";"2015-07-27";2015;7;"2015-07-01";10;"2015_07";"Lato";16,9888349;51,0818699
"22022";2012;"";"";"Strzegomska 142 ";"bud.biurowe";"budowa budynku biurowego 2a z wbudowan¹ stacj¹ transformatorow¹ i wêz³em cieplnym";"nowe";"2015-07-02";"21790/15";"3882/15";"2015-07-27";2015;7;"2015-07-01";18;"2015_07";"Lato";16,9760515;51,1139354
"22023";2013;"";"";"Czajkowskiego Piotra  80 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu i c.o.w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-06-03";"18009/15";"3883/15";"2015-07-27";2015;6;"2015-06-01";39;"2015_06";"Lato";17,0598381;51,1409028
"22024";2014;"";"";"Jednoœci Narodowej 103 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku mieszkalnym wielorodzinnym";"przebudowa";"2015-06-03";"17981/15";"3884/15";"2015-07-27";2015;6;"2015-06-01";39;"2015_06";"Lato";17,0444284;51,1226165
"22025";2015;"";"";"RzeŸnicza  16 ";"bud.o trzech i wiêcej mieszkaniach";"budowa przy³¹czy wody, kanalizacji sanitarnej i deszczowej do budynku.";"przy³¹cze";"2015-06-23";"20426/15";"3885/15";"2015-07-27";2015;6;"2015-06-01";25;"2015_06";"Lato";17,0288871;51,1123642
"22026";2016;"";"";"Ko³³¹taja Hugona 16 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu, centralnego ogrzewania i ciep³ej wody u¿ytkowej w lokalu mieszkalnym.";"inst.wewnêtrzna";"2015-06-10";"18741/15";"3886/15";"2015-07-27";2015;6;"2015-06-01";34;"2015_06";"Lato";17,0357827;51,1003512
"22027";2017;"";"";"Ledóchowskiego Mieczys³awa Kard. 1 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej,c.o i wentylacji grawitacyjnej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-10";"22806/15";"3887/15";"2015-07-27";2015;7;"2015-07-01";12;"2015_07";"Lato";17,0483686;51,1200537
"22028";2018;"";"";"Osobowicka 101 ";"bud.o trzech i wiêcej mieszkaniach";"remont i przebudowa z nadbudow¹ budynku mieszkalnego wielorodzinnego";"przebudowa";"2015-04-23";"12886/15";"3891/15";"2015-07-28";2015;4;"2015-04-01";69;"2015_04";"Wiosna";16,9913339;51,1402129
"22029";2019;"";"";"Drzewieckiego Stefana  14 ";"bud.o trzech i wiêcej mieszkaniach";"remont elewacji pó³nocno-zachodniej i czêœci poddasza budynku mieszkalnego, wielorodzinnego.";"remont";"2015-07-08";"22575/15";"3894/15";"2015-07-28";2015;7;"2015-07-01";15;"2015_07";"Lato";16,9703917;51,1270482
"22030";2020;"";"";"Henryka Probusa 2 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym, budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-08";"22531/15";"3896/15";"2015-07-28";2015;7;"2015-07-01";15;"2015_07";"Lato";17,0372131;51,118669
"22031";2021;"";"";"Osiniecka  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"odmowa";"nowe";"2015-06-16";"19587/15";"3898/15";"2015-07-28";2015;6;"2015-06-01";31;"2015_06";"Lato";16,8973346;51,1212832
"22032";2022;"";"";"Nowowiejska  65 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-08";"22550/15";"3899/15";"2015-07-28";2015;7;"2015-07-01";15;"2015_07";"Lato";17,0576851;51,1190403
"22033";2023;"";"";"Poniatowskiego Józefa Ksiêcia 12 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-06-16";"19588/15";"3900/15";"2015-07-28";2015;6;"2015-06-01";31;"2015_06";"Lato";17,0424653;51,1202596
"22034";2024;"";"";"Trzmielowicka  ";"ruroci¹gi kanalizac.sieci rozdzielczej";"budowa sieci kanalizacji sanitarnej i sieci wodoci¹gowej na osiedlu ratyñ";"nowe";"2015-04-30";"13774/15";"3903/15";"2015-07-28";2015;4;"2015-04-01";64;"2015_04";"Wiosna";16,8373536;51,1395539
"22035";2025;"";"";"Cynamonowa  26 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa dwoch lokali-mieszkalnego i biurowego w budynku mieszkalno-us³ugowym na ¿³obek";"przebudowa";"2015-07-27";"24706/15";"3906/15";"2015-07-28";2015;7;"2015-07-01";2;"2015_07";"Lato";17,0000401;51,176035
"22036";2026;"";"";"Horbaczewskiego Eugeniusza  11 ";"bud.o trzech i wiêcej mieszkaniach";"remont elewacji po³udniowo-wschodniej oraz czêœci poddasza budynku mieszkalnego";"remont";"2015-07-08";"22574/15";"3907/15";"2015-07-28";2015;7;"2015-07-01";15;"2015_07";"Lato";16,9735702;51,1265252
"22037";2027;"";"";"Ulanowskiego Boles³awa  18 ";"bud.szpitali i zak³.opieki medycznej";"rozbudowa budynku przychodni zdrowia o blok operacyjny z oddzia³em ³ó¿kowym.";"rozbudowa";"2015-06-01";"17707/15";"3910/15";"2015-07-28";2015;6;"2015-06-01";42;"2015_06";"Lato";17,0065527;51,0820711
"22038";2028;"";"";"Kazimierza Wielkiego 49 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej,c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-06-29";"21183/15";"3912/15";"2015-07-28";2015;6;"2015-06-01";22;"2015_06";"Lato";17,0311647;51,1073477
"22039";2029;"";"";"Miêdzyleska  ";"bud.przemys³owe";"budowa budynku magazynowo-produkcyjnego z zapleczem biurowo-socjalnym";"nowe";"2015-06-29";"21189/15";"3915/15";"2015-07-28";2015;6;"2015-06-01";22;"2015_06";"Lato";17,0686818;51,0795832
"22040";2030;"";"";"Horbaczewskiego Eugeniusza  23 ";"bud.o trzech i wiêcej mieszkaniach";"remont czêœci poddasza budynku mieszkalnego wielorodzinnego";"remont";"2015-07-08";"22576/15";"3916/15";"2015-07-28";2015;7;"2015-07-01";15;"2015_07";"Lato";16,9729047;51,1250803
"22041";2031;"";"";"Krakowska  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z gara¿em";"nowe";"2015-06-05";"18273/15";"3917/15";"2015-07-28";2015;6;"2015-06-01";38;"2015_06";"Lato";17,0668372;51,0886751
"22042";2032;"";"";"Sygna³owa  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazu œredniego cisnienia wraz przy³¹czami";" ÿÿ";"2015-06-18";"19871/15";"3918/15";"2015-07-28";2015;6;"2015-06-01";29;"2015_06";"Lato";17,0653416;51,060139
"22043";2033;"";"";"Platówny Franciszki  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"odmowa";"nowe";"2015-05-25";"16670/15";"3924/15";"2015-07-29";2015;5;"2015-05-01";48;"2015_05";"Wiosna";17,0385376;51,1078852
"22044";2034;"";"";"Daliowa 4 ";"bud.mieszkalne jednorodzinne";"budowa sieci, przy³¹cza i instalacji sanitarnej, przy³¹cza i instalacji wodoci¹gowej dla budynku.";"przy³¹cze";"2015-06-02";"17828/15";"3925/15";"2015-07-29";2015;6;"2015-06-01";42;"2015_06";"Lato";17,114634;51,1691264
"22045";2035;"";"";"Hallera Józefa Gen. Aleja 18A ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu budynku.";"inst.wewnêtrzna";"2015-07-14";"23238/15";"3927/15";"2015-07-29";2015;7;"2015-07-01";12;"2015_07";"Lato";17,0092128;51,086769
"22046";2036;"";"";"Piastowska  53 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym, budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-08";"22496/15";"3928/15";"2015-07-29";2015;7;"2015-07-01";16;"2015_07";"Lato";17,0622419;51,1175299
"22047";2037;"";"";"Nowowiejska 14 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym, budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-06";"22128/15";"3929/15";"2015-07-29";2015;7;"2015-07-01";18;"2015_07";"Lato";17,0468869;51,1245209
"22048";2038;"";"";"Fabryczna  10 ";"bud.przemys³owe";"przebudowa hali";"przebudowa";"2015-06-09";"18547/15";"3932/15";"2015-07-29";2015;6;"2015-06-01";37;"2015_06";"Lato";16,9913515;51,1118866
"22049";2039;"";"";"Gospodarska 2 ";"zbiorniki,silosy i bud.magazynowe";"monta¿ inst. zbiornikowej gazu p³ynnego wraz ze zbiornikami podziemnymi ,przy³.gazu i wewn. inst.gazow¹ w hali monta¿owo-produkcyjnej";"inst.wewnêtrzna";"2015-05-28";"17312/15";"3934/15";"2015-07-29";2015;5;"2015-05-01";45;"2015_05";"Wiosna";17,123076;51,1170047
"22050";2040;"";"";"Buforowa  ";"linie elektroener.i telekom.rozdzielcz.";"monta¿ linii kablowych wraz ze z³¹czami kablowymi";"nowe";"2015-07-06";"22134/15";"3935/15";"2015-07-29";2015;7;"2015-07-01";18;"2015_07";"Lato";17,0570783;51,0574178
"22051";2041;"";"";"Reja Miko³aja 45 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej istalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-02";"21756/15";"3936/15";"2015-07-29";2015;7;"2015-07-01";20;"2015_07";"Lato";17,0587321;51,1182077
"22052";2042;"";"";"Buforowa  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowych niskiego napiêcia wraz ze z³¹czami kablowymi";"nowe";"2015-07-06";"22133/15";"3939/15";"2015-07-29";2015;7;"2015-07-01";18;"2015_07";"Lato";17,0570783;51,0574178
"22053";2043;"";"";"Po³udniowa 3 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu i instalacji centralnego ogrzewania";"inst.wewnêtrzna";"2015-06-23";"20305/15";"3940/15";"2015-07-29";2015;6;"2015-06-01";27;"2015_06";"Lato";16,9927609;51,07438
"22054";2044;"";"";"Kosynierów Gdyñskich 7A ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-06-25";"20723/15";"3941/15";"2015-07-29";2015;6;"2015-06-01";25;"2015_06";"Lato";17,0921836;51,1111158
"22055";2045;"";"";"Jesionowa  26 ";"bud.o trzech i wiêcej mieszkaniach";"remont i docieplenie elewacji budynku";"remont";"2015-05-25";"16783/15";"3942/15";"2015-07-29";2015;5;"2015-05-01";48;"2015_05";"Wiosna";17,0502459;51,086897
"22056";2046;"";"";"Lniana  21 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"remont";"2015-06-01";"17759/15";"3943/15";"2015-07-29";2015;6;"2015-06-01";43;"2015_06";"Lato";17,0443094;51,0899949
"22057";2047;"";"";"Sienkiewicza Henryka 146 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej istalacji gazowej i centralnego ogrzewania w lokalu mieszkalnym, w budynku wielorodzinnym.";"inst.wewnêtrzna";"2015-07-06";"22132/15";"3945/15";"2015-07-29";2015;7;"2015-07-01";18;"2015_07";"Lato";17,06691;51,1153311
"22058";2048;"";"";"Podró¿nicza 25 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu dla lokalu mieszkalnego, w budynku mieszkalnym.";"inst.wewnêtrzna";"2015-06-09";"18698/15";"3950/15";"2015-07-29";2015;6;"2015-06-01";37;"2015_06";"Lato";16,9888379;51,0902399
"22059";2049;"";"";"Koœciuszki Tad.Gen.Plac 4 ";"bud.handlowo-uslugowe";"przebudowa lokalu handlowego-wykonanie nowego wejscia w budynku mieszkalno-us³ugowym";"urz¹dzenie";"2015-06-10";"18844/15";"3951/15";"2015-07-29";2015;6;"2015-06-01";36;"2015_06";"Lato";17,0385376;51,1078852
"22060";2050;"";"";"O³awska  ";"";"odmowa";"reklama";"2015-05-28";"17249/15";"3953/15";"2015-07-29";2015;5;"2015-05-01";45;"2015_05";"Wiosna";17,0371993;51,1080264
"22061";2051;"";"";"Potebni Andrzeja 24 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-13";"23064/15";"3954/15";"2015-07-29";2015;7;"2015-07-01";13;"2015_07";"Lato";17,1021385;51,1080324
"22062";2052;"";"";"Januszowicka 27D ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazu w budynku";"inst.wewnêtrzna";"2015-06-29";"21122/15";"3957/15";"2015-07-29";2015;6;"2015-06-01";23;"2015_06";"Lato";17,010223;51,080765
"22063";2053;"";"";"Œredzka  18 ";"bud.biurowe";"wymiana bankomatu w elewacji budynku";"urz¹dzenie";"2015-07-08";"22482/15";"3958/15";"2015-07-29";2015;7;"2015-07-01";16;"2015_07";"Lato";16,8693339;51,1457089
"22064";2054;"";"";"Na Polance 4 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-07-29";"25043/15";"3959/15";"2015-07-29";2015;7;"2015-07-01";1;"2015_07";"Lato";17,034768;51,133475
"22065";2055;"";"";"Rumiankowa  34 ";"bud.szkó³ i instytucji badawczych";"remont i przebudowa budynku zespo³u szkolno-przedszkolnego";"remont";"2015-07-16";"23511/15";"3960/15";"2015-07-29";2015;7;"2015-07-01";10;"2015_07";"Lato";16,926344;51,1209889
"22066";2056;"";"";"Januszowicka  14 ";"bud.szkó³ i instytucji badawczych";"budowa d¿wigu dla osób niepe³nosprawnych w budynku szko³y";"urz¹dzenie";"2015-06-17";"19625/15";"3963/15";"2015-07-29";2015;6;"2015-06-01";31;"2015_06";"Lato";17,0122549;51,0824335
"22067";2057;"";"";"Œlê¿na 184 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-06-15";"19302/15";"3964/15";"2015-07-29";2015;6;"2015-06-01";33;"2015_06";"Lato";17,018443;51,0765001
"22068";2058;"";"";"Powstañców Œl¹skich 1 ";"bud.handlowo-uslugowe";"przebudowa lokalu us³ugowego na parterze budynku mieszkalno-biurowo-us³ugowego na cukierniê.";"przebudowa";"2015-07-13";"23087/15";"3965/15";"2015-07-29";2015;7;"2015-07-01";13;"2015_07";"Lato";17,0266856;51,0999952
"22069";2059;"";"";"£ukasiñskiego Waleriana 5 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa pomieszczeñ, wewnêtrzna instalacja wodoci¹gowo-kanalizacyjna, monta¿ wewnêtrznej instalacji gazowej, centralne ogrzewanie w lokalu mieszkalnym.";"przebudowa";"2015-07-17";"23704/15";"3976/15";"2015-07-30";2015;7;"2015-07-01";10;"2015_07";"Lato";17,0498688;51,1015439
"22070";2060;"";"";"Skrzetuskiego Jana 22 ";"bud.o trzech i wiêcej mieszkaniach";"rozbudowa budynku mieszkalnego jednorodzinnego";"przebudowa";"2015-05-28";"17345/15";"3978/15";"2015-07-30";2015;5;"2015-05-01";46;"2015_05";"Wiosna";16,9287709;51,1165683
"22071";2061;"";"";"£ódzka  36 ";"bud.o trzech i wiêcej mieszkaniach";"termomodemizacja budynku mieszklanego wielorodzinnego.";"remont";"2015-05-22";"16417/15";"3979/15";"2015-07-30";2015;5;"2015-05-01";50;"2015_05";"Wiosna";17,037436;51,0888349
"22072";2062;"";"";"Grunwaldzki Plac 10A ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszklanym.";"inst.wewnêtrzna";"2015-06-30";"21382/15";"3980/15";"2015-07-30";2015;6;"2015-06-01";23;"2015_06";"Lato";17,056253;51,1110539
"22073";2063;"";"";"Wyszyñskiego Stefana Kardyna³a  ";"ruroci¹gi kanalizac.sieci rozdzielczej";"odmowa";"nowe";"2014-12-03";"39036/14";"3981/15";"2015-07-30";2014;12;"2014-12-01";172;"2014_12";"Zima";17,0517033;51,1205831
"22074";2064;"";"";"Pe³czyñska 8 ";"bud.przemys³owe";"odmowa";"inst.wewnêtrzna";"2015-06-09";"18659/15";"3983/15";"2015-07-30";2015;6;"2015-06-01";38;"2015_06";"Lato";17,0017399;51,1626009
"22075";2065;"";"";"Ledóchowskiego Mieczys³awa Kard. 7 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2015-07-08";"22559/15";"3989/15";"2015-07-30";2015;7;"2015-07-01";17;"2015_07";"Lato";17,0487132;51,1204063
"22076";2066;"";"";"Stab³owicka  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa sieci gazociagowej wraz z dwoma przy³¹czami";"nowe";"2015-06-18";"19748/15";"3991/15";"2015-07-30";2015;6;"2015-06-01";31;"2015_06";"Lato";16,8972618;51,1645683
"22077";2067;"";"";"Kamieñskiego Henryka Micha³a 202 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"nowe";"2015-05-13";"15218/15";"3992/15";"2015-07-30";2015;5;"2015-05-01";57;"2015_05";"Wiosna";17,0438494;51,1555593
"22078";2068;"";"";"Kowale,AM-13,dz.nr 35/3,37/2,37/1";"ulice i drogi pozosta³e";"budowa drogi dojazdowej z kruszywa";"nowe";"2015-05-29";"17535/15";"3993/15";"2015-07-30";2015;5;"2015-05-01";45;"2015_05";"Wiosna";17,0385376;51,1078852
"22079";2069;"";"";"Œlê¿na 179 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazowej w budynku mieszkalnym jednorodzinnym.";"inst.wewnêtrzna";"2015-07-07";"22412/15";"3997/15";"2015-07-31";2015;7;"2015-07-01";19;"2015_07";"Lato";17,0190069;51,078111
"22080";2070;"";"";"Prusicka  15 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2015-05-28";"17324/15";"4005/15";"2015-07-31";2015;5;"2015-05-01";47;"2015_05";"Wiosna";17,0376039;51,15045
"22081";2071;"";"";"Oleœnicka  22 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego  w zakresie budowy sciany dzia³owej oraz otworu drzwiowego wraz monta¿em wewnêtrznej instalacji gazu i c.o.";"przebudowa";"2015-06-15";"19307/15";"4009/15";"2015-07-31";2015;6;"2015-06-01";35;"2015_06";"Lato";17,046038;51,1210759
"22082";2072;"";"";"Miêdzyleska 6  ";"bud.biurowe";"przebudowa budynku biurowego";"przebudowa";"2015-06-22";"20141/15";"4010/15";"2015-07-31";2015;6;"2015-06-01";30;"2015_06";"Lato";17,069601;51,079738
"22083";2073;"";"";"Kosynierów Gdyñskich 94 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji wod-kan. i gazowej oraz centralnego ogrzewania w lokalu mieszkalnym.";"inst.wewnêtrzna";"2015-06-08";"18379/15";"4014/15";"2015-07-31";2015;6;"2015-06-01";40;"2015_06";"Lato";17,1058099;51,112837
"22084";2074;"";"";"Ró¿y Wiatrów  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej wysokiego napiêcia";"przebudowa";"2015-04-30";"13822/15";"4015/15";"2015-07-31";2015;4;"2015-04-01";67;"2015_04";"Wiosna";16,992051;51,0728131
"22085";2075;"";"";"Pilczycka  ";"bud.handlowo-uslugowe";"budowa budynku handlowo-biurowego";"nowe";"2015-02-27";"6307/15";"4016/15";"2015-07-31";2015;2;"2015-02-01";111;"2015_02";"Zima";16,9653423;51,1373324
"22086";2076;"";"";"Zwyciêska  31 ";"bud.handlowo-uslugowe";"przebudowa fragmentu elewacji budynku wielorodzinnego mieszkalno-us³ugowego.";"przebudowa";"2015-07-21";"24148/15";"4017/15";"2015-07-31";2015;7;"2015-07-01";9;"2015_07";"Lato";17,0055822;51,0601497
