"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"24014";381;"";"";"Rudawska  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowych  œn";"nowe";"2015-12-16";"41278/15";"726/16";"2016-02-16";2015;12;"2015-12-01";45;"2015_12";"Zima";17,0363709;51,1520714
"24015";382;"";"";"Boles³awa Chrobrego  37 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-29";"2851/16";"727/16";"2016-02-16";2016;1;"2016-01-01";13;"2016_01";"Zima";17,034662;51,123782
"24016";383;"";"";"Wystawowa 1 ";"";"remont iglicy";"remont";"2016-02-03";"3234/16";"728/16";"2016-02-16";2016;2;"2016-02-01";10;"2016_02";"Zima";17,0741029;51,1074933
"24017";384;"";"";"Sienkiewicza Henryka 144 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2016-02-02";"3071/16";"729/16";"2016-02-16";2016;2;"2016-02-01";11;"2016_02";"Zima";17,0665324;51,1153707
"24018";385;"";"";"Orzechowa 113 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa ze zmian¹ sposobu u¿ytkowania lokalu us³ugowego na mieszkanie w budynku wielorodzinnym";"przebudowa";"2015-10-23";"35170/15";"730/16";"2016-02-16";2015;10;"2015-10-01";83;"2015_10";"Jesieñ";17,0461582;51,0777095
"24019";386;"";"";"Skargi Piotra Ks. 3 ";"bud.biurowe";"przebudowa fragmentu piêtra +1 oraz piêtra +4 na funkcjê biurow¹ w bud. biurowo-us³ugowym /bud.b/";"przebudowa";"2016-01-19";"1497/16";"731/16";"2016-02-16";2016;1;"2016-01-01";21;"2016_01";"Zima";17,0383424;51,1068159
"24020";387;"";"";"Kowalska 121 ";"bud.handlowo-uslugowe";"przebudowa zak³adu optyki";"przebudowa";"2016-01-18";"1274/16";"732/16";"2016-02-16";2016;1;"2016-01-01";22;"2016_01";"Zima";17,1110909;51,1310579
"24021";388;"";"";"Kazimierza Wielkiego  15 ";"bud.o trzech i wiêcej mieszkaniach";"montaz tablicy informacyjnej";"remont";"2016-01-15";"1094/16";"734/16";"2016-02-17";2016;1;"2016-01-01";24;"2016_01";"Zima";17,0261779;51,109764
"24022";389;"";"";"Kleczków, AM-3, dz. 10/54, 10/56, 10/57";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej";"nowe";"2015-12-29";"42377/15";"740/16";"2016-02-17";2015;12;"2015-12-01";37;"2015_12";"Zima";17,0385376;51,1078852
"24023";390;"";"";"Osiniecka  63 ";"bud.mieszkalne jednorodzinne";"przebudowa budynku mieszkalnego jednorodzinnego";"przebudowa";"2016-01-07";"341/16";"741/16";"2016-02-17";2016;1;"2016-01-01";30;"2016_01";"Zima";16,8956266;51,1212795
"24024";391;"";"";"Konarskiego Szymona  14 ";"bud.o trzech i wiêcej mieszkaniach";"montaz wewnetrznej instalacji gazu";"inst.wewnêtrzna";"2015-12-15";"41135/15";"744/16";"2016-02-17";2015;12;"2015-12-01";47;"2015_12";"Zima";17,1042348;51,1120122
"24025";392;"";"";"Stawowa  ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"nowe";"2015-10-23";"35296/15";"746/16";"2016-02-17";2015;10;"2015-10-01";84;"2015_10";"Jesieñ";17,0341143;51,1006451
"24026";393;"";"";"Tatarska 9 ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych wielorodzinnych z gara¿em podziemnym";"nowe";"2015-02-13";"4559/15";"747/16";"2016-02-17";2015;2;"2015-02-01";264;"2015_02";"Zima";17,0818382;51,0599826
"24027";394;"";"";"Kamieñskiego Henryka Micha³a  ";"linie telekomunikacyjne dalek.zasiêgu";"odmowa";"nowe";"2015-02-13";"4420/15";"749/16";"2016-02-17";2015;2;"2015-02-01";264;"2015_02";"Zima";17,0435725;51,1520657
"24028";395;"";"";"Staffa Leopolda  25 ";"bud.mieszkalne jednorodzinne";"dobudowa gara¿u do istniej¹cego budynku mieszkalnego jednorodzinnego";"rozbudowa";"2015-11-19";"38278/15";"752/16";"2016-02-17";2015;11;"2015-11-01";65;"2015_11";"Jesieñ";17,0587333;51,1404685
"24029";396;"";"";"Bazyliowa  ";"bud.mieszkalne jednorodzinne";"budowa czterech budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej";"nowe";"2015-12-18";"41560/15";"755/16";"2016-02-17";2015;12;"2015-12-01";44;"2015_12";"Zima";17,0020369;51,174609
"24030";397;"";"";"Majerankowa  ";"bud.mieszkalne jednorodzinne";"budowa 3 budynków jednorodzinnych";"nowe";"2015-12-18";"41561/15";"756/16";"2016-02-17";2015;12;"2015-12-01";44;"2015_12";"Zima";17,0021179;51,173392
"24031";398;"";"";"Sienkiewicza Henryka  98 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów w budynku wielorodzinnym";"remont";"2015-11-12";"37309/15";"757/16";"2016-02-17";2015;11;"2015-11-01";70;"2015_11";"Jesieñ";17,0589213;51,1162218
"24032";399;"";"";"Granitowa  ";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2015-07-29";"25066/15";"758/16";"2016-02-18";2015;7;"2015-07-01";147;"2015_07";"Lato";17,0408566;51,0666802
"24033";400;"";"";"KuŸnicza  49  ";"bud.szkó³ i instytucji badawczych";"docieplenie budynku  uniwersytetu wroc³awskiego";"remont";"2015-12-23";"42155/15";"759/16";"2016-02-18";2015;12;"2015-12-01";42;"2015_12";"Zima";17,0341745;51,112089
"24034";401;"";"";"Æwiczebna 7 ";"bud.o trzech i wiêcej mieszkaniach";"remont dachu polegajacy na wymianie pokrycia dachowego oraz przemurowania kominów w budynku mieszkalnym";"remont";"2016-01-22";"2056/16";"760/16";"2016-02-18";2016;1;"2016-01-01";20;"2016_01";"Zima";17,0081037;51,1575102
"24035";402;"";"";"Dworcowa  16 ";"bud.o trzech i wiêcej mieszkaniach";"przebud. lokalu u¿ytkowego na dwa lokale mieszkalne na poz 1 piêtra,oraz 2 lokale u¿ytkowe na poz. przyziemia";"przebudowa";"2016-01-07";"333/16";"762/16";"2016-02-18";2016;1;"2016-01-01";31;"2016_01";"Zima";17,0397467;51,101769
"24036";403;"";"";"Jeleniogórska  51 ";"bud.mieszkalne jednorodzinne";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-19";"1433/16";"763/16";"2016-02-18";2016;1;"2016-01-01";23;"2016_01";"Zima";16,8803651;51,150296
"24037";404;"";"";"Beethovena Ludwiga Van  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-12-17";"41385/15";"764/16";"2016-02-18";2015;12;"2015-12-01";46;"2015_12";"Zima";17,0637551;51,0539783
"24038";405;"";"";"Ba³tycka  ";"ulice i drogi pozosta³e";"przebudowa ulicy";"przebudowa";"2016-01-04";"103/16";"765/16";"2016-02-18";2016;1;"2016-01-01";34;"2016_01";"Zima";17,0304517;51,136911
"24039";406;"";"";"Sokolnicza  32 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie postepowania";"inst.wewnêtrzna";"2016-01-15";"1167/16";"766/16";"2016-02-18";2016;1;"2016-01-01";25;"2016_01";"Zima";17,020407;51,112789
"24040";407;"";"";"Koœciañska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego";"nowe";"2015-12-03";"39753/15";"768/16";"2016-02-18";2015;12;"2015-12-01";56;"2015_12";"Zima";16,883311;51,1430507
"24041";408;"";"";"Kêpiñska 8 ";"bud.przemys³owe";"rozbudowa i przebudowa hali produkcyjno-magazynowej";"rozbudowa";"2016-02-08";"3727/16";"769/16";"2016-02-18";2016;2;"2016-02-01";9;"2016_02";"Zima";17,03443;51,145975
"24042";409;"";"";"Kamieñskiego Henryka Micha³a  12 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazu dla budynku mieszkalnego";"inst.wewnêtrzna";"2015-12-29";"42494/15";"772/16";"2016-02-18";2015;12;"2015-12-01";38;"2015_12";"Zima";17,0338539;51,141872
"24043";410;"";"";"Tarnogórska 1 ";"bud.handlowo-uslugowe";"przebudowa budynku us³ugowego";"przebudowa";"2015-12-23";"42206/15";"775/16";"2016-02-18";2015;12;"2015-12-01";42;"2015_12";"Zima";17,08561;51,075176
"24044";411;"";"";"Syrokomli W³adys³awa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wraz z elementami zagiospodarowania terenu";"nowe";"2015-12-16";"41243/15";"779/16";"2016-02-19";2015;12;"2015-12-01";48;"2015_12";"Zima";17,047649;51,1398881
"24045";412;"";"";"Rajska  75 ";"ruroci¹gi gazu sieci rozdzielczej";"umorzenie postêpowania";"nowe";"2015-12-29";"42486/15";"784/16";"2016-02-19";2015;12;"2015-12-01";39;"2015_12";"Zima";16,8988904;51,1416104
"24046";413;"";"";"Kowalska 143 ";"bud.przemys³owe";"budowa parkingu przy budynku produkcyjno-magazynowo-administracyjnym ad";"przebudowa";"2016-02-08";"3826/16";"786/16";"2016-02-19";2016;2;"2016-02-01";10;"2016_02";"Zima";17,1146147;51,1268343
"24047";414;"";"";"Wincentego Œw. 5 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego z montazem wewnetrznej instalacji gazu";"reklama";"2016-02-03";"3236/16";"788/16";"2016-02-19";2016;2;"2016-02-01";13;"2016_02";"Zima";17,031576;51,121926
"24048";415;"";"";"£êczycka  16 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-15";"1093/16";"789/16";"2016-02-19";2016;1;"2016-01-01";26;"2016_01";"Zima";17,011933;51,1196304
"24049";416;"";"";"Jutrzenki  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa gazociagu";"nowe";"2016-01-26";"2318/16";"791/16";"2016-02-19";2016;1;"2016-01-01";19;"2016_01";"Zima";16,9799311;51,0710148
"24050";417;"";"";"Kowalska 143 ";"zbiorniki,silosy i bud.magazynowe";"budowa posadowienia 4 silosów";"nowe";"2016-02-03";"3243/16";"792/16";"2016-02-19";2016;2;"2016-02-01";13;"2016_02";"Zima";17,1146147;51,1268343
"24051";418;"";"";"Frycza-Modrzewskiego Andrzeja 2 ";"bud.muzeów i bibliotek";"remont pomieszczeñ do przechowywania dzie³ sztuki  w budynku muzeum architektury";"remont";"2016-01-22";"2057/16";"793/16";"2016-02-19";2016;1;"2016-01-01";21;"2016_01";"Zima";17,0428449;51,109495
"24052";419;"";"";"Têczowa  83 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2015-10-26";"35371/15";"794/16";"2016-02-19";2015;10;"2015-10-01";85;"2015_10";"Jesieñ";17,0086046;51,104996
"24053";420;"";"";"S³onimskiego Antoniego  ";"ulice i drogi pozosta³e";"budowa zjazdu z drogi publicznej wraz z siegaczem";"nowe";"2015-12-31";"42730/15";"795/16";"2016-02-19";2015;12;"2015-12-01";37;"2015_12";"Zima";17,0449099;51,1291416
"24054";421;"";"";"Jednoœci Narodowej 178 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-12-23";"42083/15";"797/16";"2016-02-19";2015;12;"2015-12-01";43;"2015_12";"Zima";17,0492339;51,127097
"24055";422;"";"";"Partynicka  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowych œredniego i niskiego napiêcia,przebud. linii kablowych œredniego  i niskiego napiêcia";"nowe";"2016-01-08";"442/16";"799/16";"2016-02-19";2016;1;"2016-01-01";31;"2016_01";"Zima";16,9936163;51,0642897
"24056";423;"";"";"Przedmiejska 2 ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z uslugami";"nowe";"2015-12-03";"39907/15";"800/16";"2016-02-19";2015;12;"2015-12-01";57;"2015_12";"Zima";16,9975479;51,1200069
"24057";424;"";"";"Kowalska 143 ";"bud.przemys³owe";"rozbudowa budynku produkcyjno-magazynowo-administracyjnego";"rozbudowa";"2016-01-28";"2712/16";"801/16";"2016-02-19";2016;1;"2016-01-01";17;"2016_01";"Zima";17,1146147;51,1268343
"24058";425;"";"";"D³ugosza Jana  15 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2016-02-05";"3577/16";"802/16";"2016-02-22";2016;2;"2016-02-01";12;"2016_02";"Zima";17,0606993;51,1321709
"24059";426;"";"";"Piwnika-Ponurego Jana Mjr  65 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2015-12-29";"42422/15";"804/16";"2016-02-22";2015;12;"2015-12-01";40;"2015_12";"Zima";17,0385376;51,1078852
"24060";427;"";"";"Bierutowska  91 ";"bud.handlowo-uslugowe";"przebudowa strefy dostaw dla obs³ugi istn.zak³adu produkcji hamulców";"przebudowa";"2016-01-28";"2590/16";"812/16";"2016-02-22";2016;1;"2016-01-01";18;"2016_01";"Zima";17,1465039;51,1581241
"24061";428;"";"";"Borowska 213 ";"bud.szpitali i zak³.opieki medycznej";"odmowa";"nowe";"2015-11-26";"39017/15";"814/16";"2016-02-23";2015;11;"2015-11-01";64;"2015_11";"Jesieñ";17,0299037;51,0740717
"24062";429;"";"";"Norwida Cypriana Kamila 1-3 ";"bud.szkó³ i instytucji badawczych";"remont elewacji budynku politechniki";"remont";"2016-01-12";"760/16";"816/16";"2016-02-23";2016;1;"2016-01-01";31;"2016_01";"Zima";17,0619443;51,1079574
"24063";430;"";"";"Strumykowa  10 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2015-12-09";"40555/15";"819/16";"2016-02-23";2015;12;"2015-12-01";55;"2015_12";"Zima";17,153612;51,0980099
"24064";431;"";"";"Tylna  3A ";"bud.niemieszkalne pozosta³e";"umorzenie";"inst.wewnêtrzna";"2015-12-18";"41610/15";"821/16";"2016-02-23";2015;12;"2015-12-01";48;"2015_12";"Zima";17,1123109;51,1450199
"24065";432;"";"";"Powstañców Œl¹skich 178A ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa fragmentu podestu klatki schodowej";"przebudowa";"2016-02-12";"4275/16";"823/16";"2016-02-23";2016;2;"2016-02-01";8;"2016_02";"Zima";17,010731;51,0824999
"24066";433;"";"";"Grunwaldzki Plac  25-27 ";"bud.biurowe";"przebudowa wnetrz biurowych";"przebudowa";"2016-01-11";"621/16";"824/16";"2016-02-23";2016;1;"2016-01-01";32;"2016_01";"Zima";17,0638543;51,112151
"24067";434;"";"";"Rynek  52 ";"bud.o trzech i wiêcej mieszkaniach";"remont przejœcia bramowego z uwzglêdnieniem wejœcia do coctailbaru ""witaminka""";"remont";"2015-11-18";"38046/15";"825/16";"2016-02-23";2015;11;"2015-11-01";70;"2015_11";"Jesieñ";17,032001;51,1108841
"24068";435;"";"";"Jerzmanowska  4A ";"zbiorniki,silosy i bud.magazynowe";"budowa hali magazynowej,kabla zasilaj¹cego oraz miejsc parkingowych";"nowe";"2016-02-15";"4605/16";"828/16";"2016-02-23";2016;2;"2016-02-01";7;"2016_02";"Zima";16,9060053;51,1246048
"24069";436;"";"";"Kamieñskiego Henryka Micha³a  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa sieci ciep³owniczej w ulicach oraz kabla oœwietleniowego";"nowe";"2015-12-29";"42475/15";"830/16";"2016-02-23";2015;12;"2015-12-01";41;"2015_12";"Zima";17,0435725;51,1520657
"24070";437;"";"";"Jagielloñska  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-11";"40893/15";"831/16";"2016-02-23";2015;12;"2015-12-01";53;"2015_12";"Zima";17,1304246;51,1647305
"24071";438;"";"";"Piwnika-Ponurego Jana Mjr  89 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazowej i c.o. w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2016-02-10";"3989/16";"833/16";"2016-02-23";2016;2;"2016-02-01";10;"2016_02";"Zima";17,0385376;51,1078852
"24072";439;"";"";"Stawowa 9 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku mieszkalnym wielorodzinnym";"przebudowa";"2015-11-25";"38909/15";"834/16";"2016-02-23";2015;11;"2015-11-01";65;"2015_11";"Jesieñ";17,0342183;51,1012438
"24073";440;"";"";"Dubois Stanis³awa  41 ";"bud.biurowe";"budowa tarasu zewnêtrznego";"rozbudowa";"2015-11-26";"38998/15";"835/16";"2016-02-23";2015;11;"2015-11-01";64;"2015_11";"Jesieñ";17,0273454;51,1182262
"24074";441;"";"";"Kunickiego Stanis³awa  27 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego";"rozbudowa";"2016-02-03";"3329/16";"836/16";"2016-02-23";2016;2;"2016-02-01";15;"2016_02";"Zima";16,9415225;51,0952992
"24075";442;"";"";"Czo³gistów  34 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku jednorodzinnego";"rozbudowa";"2016-01-14";"1019/16";"837/16";"2016-02-23";2016;1;"2016-01-01";29;"2016_01";"Zima";17,017304;51,0547029
"24076";443;"";"";"£om¿yñska  ";"bud.mieszkalne jednorodzinne";"umorzenie postepowania";"nowe";"2015-12-23";"42211/15";"839/16";"2016-02-24";2015;12;"2015-12-01";46;"2015_12";"Zima";17,0385376;51,1078852
"24077";444;"";"";"Na³êczowska  ";"bud.mieszkalne jednorodzinne";"umorzenie postepowania";"nowe";"2015-12-23";"42213/15";"840/16";"2016-02-24";2015;12;"2015-12-01";46;"2015_12";"Zima";17,0385376;51,1078852
"24078";445;"";"";"Wysoka  ";"bud.przemys³owe";"odmowa";"inst.wewnêtrzna";"2016-01-15";"1189/16";"841/16";"2016-02-24";2016;1;"2016-01-01";29;"2016_01";"Zima";17,0091755;51,1028543
"24079";446;"";"";"Tenisowa  ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"nowe";"2016-01-27";"2498/16";"842/16";"2016-02-24";2016;1;"2016-01-01";21;"2016_01";"Zima";17,0051825;51,0673369
"24080";447;"";"";"Skarbowców  67 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2015-12-17";"41476/15";"843/16";"2016-02-24";2015;12;"2015-12-01";50;"2015_12";"Zima";16,9945409;51,0734489
"24081";448;"";"";"Na³êczowska  ";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2015-12-23";"42210/15";"846/16";"2016-02-24";2015;12;"2015-12-01";46;"2015_12";"Zima";17,0385376;51,1078852
"24082";449;"";"";"Porajowska  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa  dwóch odcinków sieci gazowej niskiego ciœnienia wraz z 16 przy³. gazu dla budynków mieszkalnych w zabudowie szeregowej";"nowe";"2016-01-26";"2319/16";"848/16";"2016-02-24";2016;1;"2016-01-01";22;"2016_01";"Zima";17,0385376;51,1078852
"24083";450;"";"";"Uniwersytecka  11 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokali mieszkalnych w budynku wielorodzinnym";"przebudowa";"2015-12-11";"40808/15";"850/16";"2016-02-24";2015;12;"2015-12-01";54;"2015_12";"Zima";17,0337575;51,1132317
"24084";451;"";"";"Cha³ubiñskiego Tytusa 6 ";"obiekty kulturalne ogólnodostêpne";"remont i przebudowa pomieszczeñ czêœci przyziemia na potrzeby wystawiennicze katedry medycyny s¹dowej";"przebudowa";"2015-12-16";"41276/15";"851/16";"2016-02-24";2015;12;"2015-12-01";51;"2015_12";"Zima";17,066605;51,1114666
"24085";452;"";"";"Opolska 21-21A ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2015-11-05";"36578/15";"852/16";"2016-02-24";2015;11;"2015-11-01";80;"2015_11";"Jesieñ";17,080271;51,079633
"24086";453;"";"";"Koœciuszki Tadeusza  25 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa balkonów w buynku wielorodzinnym";"przebudowa";"2016-02-03";"3320/16";"853/16";"2016-02-24";2016;2;"2016-02-01";16;"2016_02";"Zima";17,0317441;51,1025154
"24087";454;"";"";"Brzeska  31 ";"bud.o trzech i wiêcej mieszkaniach";"wewnetrzna instalacja gazu";"inst.wewnêtrzna";"2016-01-28";"2684/16";"855/16";"2016-02-24";2016;1;"2016-01-01";20;"2016_01";"Zima";17,053799;51,0960591
"24088";455;"";"";"Karkonoska Aleja 63A ";"bud.handlowo-uslugowe";"przebudowa wnetrza budynku restauracji";"przebudowa";"2015-12-29";"42401/15";"856/16";"2016-02-24";2015;12;"2015-12-01";42;"2015_12";"Zima";16,9934571;51,0610885
"24089";456;"";"";"Trzebnicka  30 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego-nowy podzia³ lokalu wraz z monta¿em wewn.instalacji gazowej,wod-kan,elektrycznej w budynku wielorodzinnym";"przebudowa";"2015-12-28";"42298/15";"857/16";"2016-02-24";2015;12;"2015-12-01";43;"2015_12";"Zima";17,035669;51,123247
"24090";457;"";"";"Widna 5 ";"bud.o trzech i wiêcej mieszkaniach";"remont i docieplenie elewacji budynku mieszkalnego wielorodzinnego";"remont";"2016-02-18";"4945/16";"858/16";"2016-02-24";2016;2;"2016-02-01";5;"2016_02";"Zima";17,04451;51,085372
"24091";458;"";"";"Borowska  ";"ulice i drogi pozosta³e";"przebudowa ulic";"przebudowa";"2015-12-31";"42775/15";"860/16";"2016-02-24";2015;12;"2015-12-01";40;"2015_12";"Zima";17,0350367;51,0849971
"24092";459;"";"";"Rdestowa  ";"ruroci¹gi kanalizac.sieci rozdzielczej";"budowa sieci kanalizacyjnej";"nowe";"2016-01-21";"1844/16";"861/16";"2016-02-24";2016;1;"2016-01-01";25;"2016_01";"Zima";16,8850689;51,1138654
"24093";460;"";"";"Grabowa  ";"ruroci¹gi kanalizac.sieci rozdzielczej";"umorzenie";"nowe";"2015-01-14";"992/15";"863/16";"2016-02-25";2015;1;"2015-01-01";292;"2015_01";"Zima";16,9193007;51,1371104
"24094";461;"";"";"Polna 7 ";"bud.handlowo-uslugowe";"umorzenie postepowania";"rozbudowa";"2015-12-08";"40418/15";"865/16";"2016-02-25";2015;12;"2015-12-01";58;"2015_12";"Zima";17,08221;51,059325
"24095";462;"";"";"Zwiadowców 9 ";"bud.mieszkalne jednorodzinne";"umorzenie";"przebudowa";"2015-12-30";"42654/15";"880/16";"2016-02-26";2015;12;"2015-12-01";43;"2015_12";"Zima";17,018059;51,0555329
"24096";463;"";"";"Trzebnicka  33 ";"bud.biurowe";"przebudowa sali konferencyjnej w budynku biurowym";"przebudowa";"2015-12-22";"41952/15";"881/16";"2016-02-26";2015;12;"2015-12-01";49;"2015_12";"Zima";17,0364266;51,1272959
"24097";464;"";"";"Traugutta Romualda Gen. 84A ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"przebudowa";"2015-12-14";"41044/15";"885/16";"2016-02-26";2015;12;"2015-12-01";55;"2015_12";"Zima";17,0520317;51,102331
"24098";465;"";"";"Graniczna  ";"bud.handlowo-uslugowe";"budowa linii kablowej œn wraz ze z³¹czem kablowym œn";"przy³¹cze";"2016-01-20";"1690/16";"886/16";"2016-02-26";2016;1;"2016-01-01";28;"2016_01";"Zima";16,9142661;51,1086735
